Date,Time,Country,League,Home,Away,Odd_H,Odd_D,Odd_A
06.01.2025,1900-01-01 17:00:00,ENGLAND,PREMIER LEAGUE - ROUND 20,Wolves,Nottingham,3.25,3.2,2.25
06.01.2025,1900-01-01 16:00:00,ITALY,SUPER CUP - FINAL,Inter,AC Milan,1.8,3.6,4.5
06.01.2025,1900-01-01 10:30:00,ALGERIA,ALGERIA CUP - 1/32-FINALS,Sendjas,Paradou,1.8,3.6,4.5
06.01.2025,1900-01-01 12:00:00,ALGERIA,ALGERIA CUP - 1/32-FINALS,Biskra,SC Mecheria,1.16,6.0,14.5
06.01.2025,1900-01-01 05:00:00,AUSTRALIA,A-LEAGUE - ROUND 12,Macarthur FC,Adelaide United,2.8,3.9,2.2
06.01.2025,1900-01-01 12:45:00,BRAZIL,COPINHA - ROUND 2,Comercial U20,EC Sao Jose U20,2.8,3.9,2.2
06.01.2025,1900-01-01 13:00:00,BRAZIL,COPINHA - ROUND 2,Bandeirante U20,Botafogo SP U20,2.8,3.9,2.2
06.01.2025,1900-01-01 13:00:00,BRAZIL,COPINHA - ROUND 2,Desportivo U20,Hercilio Luz U20,2.8,3.9,2.2
06.01.2025,1900-01-01 13:00:00,BRAZIL,COPINHA - ROUND 2,Tanabi U20,CE Forca E Luz U20,2.8,3.9,2.2
06.01.2025,1900-01-01 13:00:00,BRAZIL,COPINHA - ROUND 2,Tupa U20,Agua Santa U20,2.8,3.9,2.2
06.01.2025,1900-01-01 15:00:00,BRAZIL,COPINHA - ROUND 2,Francana U20,Guarani U20,2.8,3.9,2.2
06.01.2025,1900-01-01 15:00:00,BRAZIL,COPINHA - ROUND 2,Retro U20,Vitoria U20,2.8,3.9,2.2
06.01.2025,1900-01-01 15:15:00,BRAZIL,COPINHA - ROUND 2,Brasiliense U20,CRB U20,2.8,3.9,2.2
06.01.2025,1900-01-01 15:15:00,BRAZIL,COPINHA - ROUND 2,Dom Bosco U20,Coritiba U20,2.8,3.9,2.2
06.01.2025,1900-01-01 15:15:00,BRAZIL,COPINHA - ROUND 2,Operario PR U20,Santa Cruz U20,2.8,3.9,2.2
06.01.2025,1900-01-01 15:15:00,BRAZIL,COPINHA - ROUND 2,Tuna Luso U20,Azuriz U20,2.8,3.9,2.2
06.01.2025,1900-01-01 16:00:00,BRAZIL,COPINHA - ROUND 2,Comercial FC - Tiete U20,Operario AC U20,2.8,3.9,2.2
06.01.2025,1900-01-01 16:15:00,BRAZIL,COPINHA - ROUND 2,Linense U20,Inter de Limeira U20,2.8,3.9,2.2
06.01.2025,1900-01-01 17:15:00,BRAZIL,COPINHA - ROUND 2,Ferroviaria U20,Tirol U20,2.8,3.9,2.2
06.01.2025,1900-01-01 17:15:00,BRAZIL,COPINHA - ROUND 2,Nova Iguacu U20,Atletico-MG U20,2.8,3.9,2.2
06.01.2025,1900-01-01 18:15:00,BRAZIL,COPINHA - ROUND 2,Juventude U20,America RN U20,2.8,3.9,2.2
06.01.2025,1900-01-01 18:15:00,BRAZIL,COPINHA - ROUND 2,Osasco Audax U20,Ferroviario U20,2.8,3.9,2.2
